Depth,SampleID,Site,Lithology,Cluster,Alteration_Type,Alteration_Intensity,CPIalkane,St20SR,DiaSt,MorHop ,HopBB,Hop31SR,Hop32SR,MPI,MPR,CPIacid
10.6,13A,C0013,Hydrothermal grit clasts,AN,Mg-Chlorite,Very High,1.64,0.46,0.36,0.11,0.06,0.56,0.58,0.6,1.12,3.77
12.36,13B,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,1.47,0.51,0.3,0.09,0.04,0.55,0.59,0.47,1.17,3.04
4.56,13C,C0013,Hydrothermal Clay,DV,Kaolinite-Musc,Very High,1.43,0.47,0.33,0.11,0.06,0.56,0.58,0.86,1.27,3.53
8.45,13D,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,2.17,0.47,0.32,0.12,0.03,0.55,0.6,0.63,1.55,3.16
3.26,13E,C0013,Hydrothermal Gravel + Hydrothermal grit matrix,DV,Kaolinite-Mus,High,1.38,0.52,0.37,0.1,0.03,0.54,0.59,0.13,1.22,2.73
11.61,13F,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,1.36,0.5,0.33,0.11,0.06,0.56,0.59,0.64,1.21,3.77
11.1,13G,C0013,Hydrothermal Gravel + Hydrothermal grit matrix,AN,Mg-Chlorite,Very High,1.56,0.53,1.27,0.12,0.05,0.55,0.59,0.62,1.27,3.23
8.18,13H,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,2.12,0.5,0.42,0.12,0.06,0.56,0.59,0.57,1.4,2.99
9,13I,C0013,Hydrothermal grit cement,AN,Mg-Chlorite,Very High,2.08,0.48,0.73,0.1,0.04,0.53,0.59,0.59,1.56,4.09
10.34,13J,C0013,Hydrothermal Gravel clasts,AN,Mg-Chlorite,Very High,1.03,0.43,1.11,0.1,0.07,0.57,0.58,0.82,1.18,4.39
81.7,14A,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1,0.43,0.14,0.1,0.04,0.55,0.56,0.46,1.27,2.49
65.89,14B,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1.01,0.43,0.28,0.06,0.1,0.57,0.61,0.38,0.91,5.2
35.21,14C,C0014,Hydrothermal Clay,DV,Mg-Chlorite,Very High,1.49,0.52,0.5,0.11,0.07,0.55,0.57,0.94,1.26,2.33
0.1,14D,C0014,Silty Clay,UA,Oxidized,Slight,1.78,0.58,2.04,0.14,0.32,0.52,0.62,0.89,1.39,2.61
94.45,14E,C0014,Clayey Hydrothermal Silt,AN,Mg-Chlorite,Very High,1.56,0.53,0.38,0.07,0.04,0.56,0.58,0.53,1.1,3.44
73.6,14F,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1.78,0.51,1.23,0.11,0.01,0.56,0.6,0.63,1.32,3.91
94.08,14G,C0014,Clayey Hydrothermal Silt,AN,Mg-Chlorite,Very High,1.69,0.5,0.55,0.11,0.07,0.55,0.54,0.52,2.34,3.04
28.66,14H,C0014,Hydrothermal Clay,DV,Mg-Chlorite,Very High,1.28,0.5,0.6,0.13,0.09,0.57,0.59,0.45,1.8,3.01
77.02,14I,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1.45,0.52,0.45,0.15,0.1,0.56,0.64,0.4,1.77,3.41
1.69,14J,C0014,Silty Clay,UA,Unaltered,Fresh,3.56,0.33,0.24,0.33,0.6,0.27,0.51,0.59,1.92,3.29
71.45,14K,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1.22,0.5,0.39,0.14,0.08,0.57,0.6,0.63,0.78,2.59
10.32,14L,C0014,Clayey Hydrothermal Silt + Pumiceous grit matrix,UA,Illite/Montmo,High,1.76,0.53,0.47,0.31,0.26,0.6,0.54,0.49,1.47,2.82
4.26,14M,C0014,Pumiceous Gravel Clasts,UA,Glauconitic,Slight,2.32,0.5,1.12,0.44,0.44,0.57,0.5,0.37,2.23,3.05
23.16,14N,C0014,Hydrothermal Clay,DV,Illite/Montmo,Very High,1.49,0.5,0.58,0.11,0.07,0.61,0.57,0.49,0.89,3.32
83.45,14O,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,1.3,0.51,0.36,0.11,0.08,0.57,0.59,0.41,2.26,3.02
23.27,17A,C0017,Silty Clay,UA,Fresh,Unaltered,3.08,0.38,0.44,0.15,0.6,0.34,0.52,0.66,1.26,3.1
21.66,17B,C0017,Silty Clay,UA,Fresh,Unaltered,1.62,0.42,1.73,0.12,0.13,0.54,0.58,0.48,1.05,3.06
23.15,17C,C0017,Sandy Silt,UA,Fresh,Unaltered,1.69,0.16,0.19,0.2,0.23,0.44,0.48,0.76,1.1,4.02
132.58,17D,C0017,Clayey Silt,UA,Fresh,Unaltered,1.35,0.45,0.25,0.39,0.34,0.43,0.52,0.75,1.1,4.43
131.78,17E,C0017,Silty Clay,UA,Fresh,Unaltered,1.43,0.37,0.34,0.55,0.22,0.66,0.59,0.36,1.94,3.29
11.35,17F,C0017,Silty Clay,UA,Fresh,Unaltered,2.94,0.37,0.26,0.23,0.58,0.39,0.6,0.73,2.01,3.22
144.47,17G,C0017,Clay,UA,Fresh,High,5.28,0.54,1.11,0.47,0.63,0.28,0.51,0.38,1.6,3.52
128.76,17H,C0017,Clay,UA,Fresh,Unaltered,3.52,0.3,0.2,0.55,0.53,0.31,0.5,0.48,1.32,3.91
140.5,17I,C0017,Clay,UA,Fresh,High,5.84,0.19,0.14,0.77,0.51,0.2,0.4,0.4,2.06,3.05
111.36,17J,C0017,Clay,UA,Fresh,Unaltered,3.09,0.37,0.29,0.37,0.56,0.31,0.51,0.29,0.99,4.47
105.99,17K,C0017,Clay,UA,Fresh,Unaltered,3.27,0.37,0.21,0.39,0.59,0.33,0.51,0.36,0.5,3.58
111.91,17L,C0017,Silt,UA,Fresh,Unaltered,2.46,0.38,0.38,0.31,0.56,0.38,0.49,0.34,1.4,4.14
137.33,17M,C0017,Clay,UA,Fresh,Unaltered,4.36,0.37,0.5,0.26,0.45,0.41,0.56,0.32,1.47,4.14
