Depth,Sample.ID,Site,hole,Cluster,Clay_wt%,H2PW_nM,CH4PW_uM,Pore water vol_cm3,Porosity_pu,Bulk density_gcm3,TOC_wt%,TS_wt%
10.60,13A,C0013,C,AN,53.96,2452.89,na,1.88,0.53,1.87,0.02,2.81
12.36,13B,C0013,C,AN,64.78,526.40,na,2.03,0.66,1.73,0.01,2.53
4.56,13C,C0013,C,DV,34.90,43033.03,na,2.24,0.68,1.73,0.03,4.40
8.45,13D,C0013,C,AN,36.99,22421.86,52.60,0.50,0.21,2.55,0.15,6.16
3.26,13E,C0013,C,DV,43.84,41087.71,52.60,0.65,0.30,2.49,0.30,4.42
11.61,13F,C0013,C,AN,60.84,378.86,na,3.45,0.70,1.51,0.11,1.98
11.10,13G,C0013,C,AN,53.96,40.71,314.70,1.17,0.47,2.01,0.07,4.30
8.18,13H,C0013,C,AN,36.99,24145.85,na,1.82,0.56,1.79,0.19,4.21
9.00,13I,C0013,C,AN,42.67,20325.64,229.50,1.80,0.57,1.86,0.62,9.02
10.34,13J,C0013,C,AN,53.96,2230.81,96.10,1.40,0.55,1.80,0.12,2.62
81.70,14A,C0014,G,AN,43.00,385269.38,292.20,3.70,0.78,1.38,0.02,4.09
65.89,14B,C0014,G,AN,36.90,40772.23,44.70,3.70,0.71,1.51,0.02,2.18
35.21,14C,C0014,B,DV,79.23,454801.73,27.20,3.06,0.70,1.56,0.11,6.26
0.10,14D,C0014,F,UA,27.28,11733.91,0.10,2.36,0.76,1.42,0.21,0.09
94.45,14E,C0014,G,AN,42.70,89116.10,64.00,3.04,0.61,1.71,0.02,2.01
73.60,14F,C0014,G,AN,37.90,472803.22,340.80,1.98,0.69,1.57,0.02,2.70
94.08,14G,C0014,G,AN,41.42,89116.10,na,2.19,0.77,1.48,0.02,1.47
28.66,14H,C0014,G,DV,45.02,117.62,86.20,1.46,0.45,1.94,0.28,4.39
77.02,14I,C0014,G,AN,42.53,733824.17,201.30,2.50,0.55,1.83,0.02,2.68
1.69,14J,C0014,B,UA,23.28,466.54,na,1.84,0.53,1.92,0.96,1.35
71.45,14K,C0014,G,AN,37.90,47114.10,220.40,2.69,0.56,1.88,0.02,2.73
10.32,14L,C0014,D,UA,60.90,71.10,12.00,1.48,0.58,1.79,0.10,2.19
4.26,14M,C0014,C,UA,21.95,150.28,9.00,1.90,0.63,1.74,0.07,0.17
23.16,14N,C0014,G,DV,31.45,153.15,16.90,1.14,0.46,1.95,0.14,4.50
83.45,14O,C0014,G,AN,60.90,324508.06,na,0.98,0.43,1.98,0.02,6.04
23.27,17A,C0017,C,UA,25.70,4186.10,na,2.98,0.67,1.53,0.58,0.29
21.66,17B,C0017,C,UA,34.55,4186.10,0.10,2.14,0.67,1.60,0.60,0.13
23.15,17C,C0017,C,UA,25.70,4186.10,0.10,1.49,0.44,1.93,0.10,0.13
132.58,17D,C0017,D,UA,43.50,1184.70,0.10,na,na,na,0.26,1.32
131.78,17E,C0017,D,UA,32.70,1184.70,na,1.18,0.42,2.05,0.20,0.04
11.35,17F,C0017,B,UA,39.35,82.40,na,1.79,0.50,1.83,0.58,0.11
144.70,17G,C0017,D,UA,47.50,328.70,1.20,1.21,0.35,1.91,0.37,0.05
128.76,17H,C0017,D,UA,32.70,10.00,na,1.34,0.43,1.95,0.39,0.24
140.50,17I,C0017,D,UA,39.67,169.35,1.40,1.59,0.42,2.00,0.44,0.08
111.36,17J,C0017,D,UA,43.00,10.00,na,2.40,0.46,1.93,0.38,0.69
105.99,17K,C0017,D,UA,32.15,10.00,na,2.41,0.45,1.93,0.52,0.20
111.91,17L,C0017,D,UA,42.70,10.00,na,1.67,0.49,1.96,0.52,0.44
137.33,17M,C0017,D,UA,39.35,10.00,1.90,1.21,0.35,1.91,0.44,0.15
