IODP Code,Depth,Sample.ID,Site,Cluster,Al_%,Fe_%,Ni_ppm,Cu_ppm,Zn_ppm
"C0013C-1H-01, 026 - 026.5",3.26,13E,13,DV,17.8,1.5,70,110,1036
"C0013C-1H-03, 011 - 011.5",4.56,13C,13,DV,14.1,2.7,30,110,672
"C0013C-1H-11, 076 - 076.5",8.18,13H,13,AN,12.1,2.9,16,178,2597
"C0013C-1H-12, 019 - 023",8.45,13D,13,AN,9.3,2,8,262,10262
"C0013C-1H-12, 078 - 079",9,13I,13,AN,4.6,1.2,15,306,242
"C0013C-1H-13, 129 - 129.5",10.34,13J,13,AN,0.7,0.1,na,145,1387
"C0013C-1H-14, 007 - 009",10.6,13A,13,AN,4,0.6,na,45,80
"C0013C-1H-14, 056 - 060",11.1,13G,13,AN,5.3,1.1,9,52,3194
"C0013C-1H-15, 032 - 036",11.61,13F,13,AN,8.8,1.9,na,17,115
"C0013C-1H-CC, 004 - 004",12.36,13B,13,AN,7.6,1.9,na,30,3122
"C0014F-1H-01, 008 - 010",0.1,14D,14,UA,7.1,4.7,31,298,311
"C0014B-1H-02, 031 - 033",1.69,14J,14,UA,8.6,4.4,41,158,292
"C0014C-1H-06, 042 - 044",4.26,14M,14,UA,6.5,1.9,na,9,104
"C0014D-2H-03, 088 - 103",10.32,14L,14,UA,13.6,2.7,na,21,129
"C0014G-3H-05, 074 - 076",23.16,14N,14,DV,12.5,3.9,31,45,21
"C0014G-4H-01, 044 - 046",28.66,14H,14,DV,9.6,4,43,69,72
"C0014B-4H-CC, 013 - 015",35.21,14C,14,DV,12.4,4.8,16,27,69
"C0014G-12H-03, 073 - 074",65.89,14B,14,AN,13.3,2.7,10,12,65
"C0014G-14T-01, 023 - 025",71.45,14K,14,AN,12.7,2.6,14,16,75
"C0014G-14T-03, 089 - 091",73.6,14F,14,AN,12.2,3.1,na,20,84
"C0014G-16T-02, 031 - 033",77.02,14I,14,AN,11.2,2.5,10,13,45
"C0014G-17T-03, 006 - 008",81.7,14A,14,AN,12.3,2.9,17,13,45
"C0014G-17T-04, 081 - 082",83.45,14O,14,AN,13.9,5.4,11,32,85
"C0014G-20T-01, 036 - 038",94.08,14G,14,AN,8.5,1.2,13,8,21
"C0014G-20T-CC, 010 - 012",94.45,14E,14,AN,11.6,2.5,14,10,52
"C0017B-1H-02, 115 - 117",11.35,17F,17,UA,7.8,4.1,45,35,103
"C0017C-1H-03, 059 - 061",21.66,17B,17,UA,8.1,4.3,45,32,97
"C0017C-1H-04, 070 - 072",23.15,17C,17,UA,5.6,2.4,21,9,53
"C0017C-1H-04, 082 - 084",23.27,17A,17,UA,8.3,4.2,42,36,97
"C0017D-7H-02, 092 - 094",105.99,17K,17,UA,6.8,4.5,41,24,96
"C0017D-7H-06, 078 - 081",111.36,17J,17,UA,6.5,3.3,29,16,63
"C0017D-7H-07, 026 - 028",111.91,17L,17,UA,7.5,4.1,39,28,105
"C0017D-9X-07, 040 - 042",128.76,17H,17,UA,8,4,45,20,86
"C0017D-10X-01, 106 - 108",131.78,17E,17,UA,5.9,4.1,39,18,70
"C0017D-10X-02, 044 - 046",132.58,17D,17,UA,6.5,3.2,36,22,63
"C0017D-10X-CC, 059 - 061",137.33,17M,17,UA,8.4,4.8,53,38,103
"C0017D-11X-01, 028 - 030",140.5,17I,17,UA,8.5,4.9,51,40,100
"C0017D-11X-CC, 011 - 013",144.47,17G,17,UA,8.7,3.9,49,31,102
